   0.0000000e+00   9.7590279e+01
   1.9972000e-03   9.5613072e+01
   3.9944000e-03   9.7095977e+01
   5.9916000e-03   1.0123575e+02
   7.9888000e-03   1.0265687e+02
   1.0000000e-02   1.0166827e+02
   1.2000000e-02   1.0000000e+02
   1.4000000e-02   1.0197721e+02
   1.6000000e-02   1.0488123e+02
   1.8000000e-02   1.0648771e+02
   2.0000000e-02   1.0722916e+02
   2.2000000e-02   1.0469587e+02
   2.4000000e-02   1.0321296e+02
   2.6000000e-02   1.0129754e+02
   2.8000000e-02   1.0197721e+02
   3.0000000e-02   1.0846492e+02
   3.2000000e-02   1.1933956e+02
   3.4000000e-02   1.6320884e+02
   3.5900000e-02   1.9218729e+02
   3.7900000e-02   2.2950707e+02
   3.9900000e-02   3.1841961e+02
   4.1900000e-02   3.7007415e+02
   4.3900000e-02   4.8438144e+02
   4.5900000e-02   5.4159687e+02
   4.7900000e-02   6.0548538e+02
   4.9900000e-02   7.1590004e+02
   5.1900000e-02   7.6662776e+02
   5.3900000e-02   8.4719896e+02
   5.5900000e-02   8.7877248e+02
   5.7900000e-02   9.3079775e+02
   5.9900000e-02   9.4680077e+02
   6.1900000e-02   9.5878759e+02
   6.3900000e-02   9.7250446e+02
   6.5900000e-02   9.8066044e+02
   6.7900000e-02   9.8337910e+02
   6.9900000e-02   9.9060827e+02
   7.1900000e-02   9.9901140e+02
   7.3900000e-02   9.9808458e+02
   7.5900000e-02   1.0000000e+03
   7.7900000e-02   9.9190581e+02
   7.9900000e-02   9.9017575e+02
   8.1900000e-02   9.8986681e+02
   8.3900000e-02   9.8220514e+02
   8.5900000e-02   9.7775642e+02
   8.7900000e-02   9.7998078e+02
   8.9900000e-02   9.7472882e+02
   9.1900000e-02   9.6681999e+02
   9.3900000e-02   9.6546066e+02
   9.5900000e-02   9.6249485e+02
   9.7900000e-02   9.6082658e+02
   9.9900000e-02   9.5619250e+02
   1.0190000e-01   9.5335027e+02
   1.0390000e-01   9.5613072e+02
   1.0590000e-01   9.5248524e+02
   1.0780000e-01   9.4537965e+02
   1.0980000e-01   9.3512289e+02
   1.1180000e-01   9.3623507e+02
   1.1380000e-01   9.3512289e+02
   1.1580000e-01   9.3073596e+02
   1.1780000e-01   9.3153920e+02
   1.1980000e-01   9.3586434e+02
   1.2180000e-01   9.2882054e+02
   1.2380000e-01   9.2702870e+02
   1.2580000e-01   9.2443361e+02
   1.2780000e-01   9.2844981e+02
   1.2980000e-01   9.2548400e+02
